lnL Kappa Omega Scale Phi Delta_lnL Convergence Gene
-40553.92 2.556551 0.3127185 1.001691 1.96952 1.374558 0 ENSG00000171714_ANO5
-12979.01 2.813446 0.1787298 0.9715188 0.8549882 0.03536277 0 ENSG00000153015_CWC27
-84362.92 3.548472 0.2826953 0.9772582 1.019376 0.001163327 0 ENSG00000151320_AKAP6
-10909.14 2.782355 0.09819093 0.9889701 1.036131 0.003097461 0 ENSG00000106483_SFRP4
-34484.57 2.442572 0.2426673 0.9751326 0.8802921 -0.003991921 0 ENSG00000196652_ZKSCAN5
-5238.529 3.665904 0.4407496 0.9692706 0.3090475 0.9245792 0 ENSG00000188710_QRFP
-1214.825 3.414384 0.03931801 1.001727 0.9002115 0.016527 0 ENSG00000165389_SPTSSA
-60832.87 2.847071 0.09467147 0.9735578 0.6679583 0.2738112 0 ENSG00000147459_DOCK5
-6851.073 2.797771 0.2272546 0.9559018 5.973171e-06 2.820264 0 ENSG00000170473_WIBG
-10704.24 4.15212 0.1323464 0.9782857 0.635468 0.3130729 0 ENSG00000184451_CCR10
-12661.93 3.690845 0.06257288 0.983884 0.8211148 0.08365192 0 ENSG00000133065_SLC41A1
-16538.48 2.620069 0.2282933 0.9636964 0.426561 1.320037 0 ENSG00000171097_CCBL1
-3784.287 4.260857 0.07624881 1.0046 1.171351 0.03600483 0 ENSG00000149196_C11orf73
-7338.899 2.515163 0.1616142 1.004857 1.582501 0.3916441 0 ENSG00000145817_YIPF5
-16106.92 2.874249 0.2749298 0.9542575 0.3517555 1.24687 0 ENSG00000166130_IKBIP
-6117.344 2.757785 0.0633437 1.079537 3.329879 2.893759 0 ENSG00000197753_LHFPL5
-10925.83 3.252347 0.4329479 0.9732103 1.100897 0.01158622 0 ENSG00000176896_TCEANC
-39764.85 2.937936 0.3423162 0.9775664 1.238514 0.08008047 0 ENSG00000133739_LRRCC1
-54715.69 3.161344 0.1808421 0.9755896 0.8570915 0.03968389 0 ENSG00000159082_SYNJ1
-5834.424 1.91501 0.3107179 0.9745125 1.055381 0.005462267 0 ENSG00000115163_CENPA
-5585.224 2.362871 0.1248534 1.036149 2.371295 2.013677 0 ENSG00000106541_AGR2
-12470.89 3.267435 0.03662282 0.9970434 0.9830402 0.0004660876 0 ENSG00000058262_SEC61A1
-48254.98 3.982294 0.1304597 0.9802696 0.6525498 0.2572195 0 ENSG00000079432_CIC
-6231.74 2.535834 0.09062369 1.004487 1.257915 0.008561562 0 ENSG00000069011_PITX1
-7109.205 2.492873 0.1170494 0.9670472 1.890141e-05 2.427196 0 ENSG00000158717_RNF166
-10741.4 4.279893 0.06614616 0.9832928 0.7885208 0.1146856 0 ENSG00000164023_SGMS2
-7041.129 2.380923 0.123127 0.9930488 1.334858 0.1357242 0 ENSG00000112530_PACRG
-17973.75 2.710243 0.08187545 0.9677177 0.5457427 0.5925952 0 ENSG00000017797_RALBP1
-14070.66 3.849946 0.3819963 0.9807374 1.158973 0.03649897 0 ENSG00000188770_OPTC
-9313.053 2.615161 0.1442377 0.9601947 0.5227566 0.4693075 0 ENSG00000009844_VTA1
-24286.13 2.491108 0.2097375 0.9799036 0.9108411 0.02376302 0 ENSG00000018280_SLC11A1
-6560.057 3.083743 0.1556669 0.9616111 0.226609 1.672384 0 ENSG00000116157_GPX7
-3207.471 2.065543 0.2720669 0.9822763 1.195213 0.04732198 0 ENSG00000160180_TFF3
-6331.459 3.49747 0.1011536 0.9774695 0.3907437 0.5728115 0 ENSG00000182575_NXPH3
-7810.49 2.414874 0.1339631 0.9736763 0.5795095 0.4079376 0 ENSG00000011105_TSPAN9
-97438.79 2.944881 0.2760134 1.026559 2.370871 2.147408 0 ENSG00000163554_SPTA1
-47853.77 3.061186 0.04856501 1.023638 1.643393 1.472916 0 ENSG00000171587_DSCAM
-75740.71 3.416469 0.06877757 0.9867839 0.8703928 0.04030178 0 ENSG00000149256_TENM4
-15400.43 2.716823 0.2018791 0.9831332 1.123275 0.02781556 0 ENSG00000119125_GDA
-70448.92 2.456065 0.150659 0.9781769 0.8396425 0.08743753 0 ENSG00000130816_DNMT1
-15250.66 2.829284 0.4916944 0.9903661 1.854682 0.5308315 0 ENSG00000186814_ZSCAN30
-38481.56 2.833501 0.5845305 0.9616106 0.9796404 -7.14772e-05 0 ENSG00000146147_MLIP
-33411.93 2.418565 0.08515169 0.9701194 0.5386003 0.7989253 0 ENSG00000121297_TSHZ3
-21575.2 3.032436 0.2523284 0.979363 0.7532292 0.2707194 0 ENSG00000122375_OPN4
-35007.34 3.447516 0.4801657 0.9897161 1.740484 0.7594573 0 ENSG00000134242_PTPN22
-8395.071 2.202942 0.1059405 0.9617778 6.690753e-06 2.783312 0 ENSG00000166289_PLEKHF1
-16438.6 2.936488 0.1258945 1.034925 2.067619 1.607262 0 ENSG00000138134_STAMBPL1
-40263.28 2.312382 0.3124243 0.9716618 0.8736913 0.03808167 0 ENSG00000130377_ACSBG2
-23578.27 2.313304 0.2447764 0.9707106 2.72163e-05 2.923545 0 ENSG00000166183_ASPG
-11400.27 2.40339 0.07670226 0.9943651 1.189597 0.09585732 0 ENSG00000105767_CADM4
-19210.79 3.352816 0.1163214 1.007926 1.430808 0.3025371 0 ENSG00000130340_SNX9
-16662.07 2.171037 0.2226212 0.9745048 0.499155 0.5302865 0 ENSG00000184164_CRELD2
-18676.1 3.443621 0.1272714 0.9921678 1.159379 0.05695813 0 ENSG00000065427_KARS
-19642.56 2.356694 0.1699248 1.010391 2.095825 1.986196 0 ENSG00000164300_SERINC5
-5960.939 2.989249 0.1346951 0.9733066 0.4750807 0.5623569 0 ENSG00000127743_IL17B
-11486.28 3.495083 0.1634518 0.9749102 0.7026015 0.2315706 0 ENSG00000166250_CLMP
-6975.654 2.663169 0.09159076 0.9851551 0.9673751 0.002722405 0 ENSG00000182132_KCNIP1
-12198.2 2.720204 0.2376792 0.9504663 1.714416e-06 2.9194 0 ENSG00000170425_ADORA2B
-22528.02 2.736977 0.2032855 0.9624152 1.289277e-05 3.915963 0 ENSG00000090932_DLL3
-11620.95 2.970382 0.132452 0.9725475 0.4017343 0.5438621 0 ENSG00000128422_KRT17
-20872.74 2.51321 0.05527721 0.989761 0.9684492 0.08924119 0 ENSG00000142459_EVI5L
-12493.8 2.873658 0.4085597 0.9738166 1.182689 0.06758167 0 ENSG00000109321_AREG
-14583.88 3.169872 0.0688945 0.9838025 0.8239201 0.03293166 0 ENSG00000175224_ATG13
-16067.87 2.889632 0.1390967 0.9822228 0.9116434 0.02227175 0 ENSG00000008118_CAMK1G
-16032.57 3.039217 0.4851738 0.977472 1.416004 0.1666326 0 ENSG00000244588_RAD21L1
-30672.98 2.19277 0.2255422 0.9639605 0.289123 1.078374 0 ENSG00000182472_CAPN12
-4631.274 2.803186 0.1020187 1.00886 1.40367 0.1885101 0 ENSG00000166128_RAB8B
-14063.9 3.410317 0.1065877 1.005482 1.429259 0.2005429 0 ENSG00000078043_PIAS2
-19312.89 2.218487 0.2092293 0.9791483 0.8773278 0.02415082 0 ENSG00000164638_SLC29A4
-13742.51 4.034193 0.07018139 0.9753212 0.6155627 0.2689336 0 ENSG00000164951_PDP1
-24493.6 2.473373 0.194382 0.9871755 1.272783 0.2419779 0 ENSG00000103196_CRISPLD2
-76381.64 3.259341 0.1659131 1.009634 1.89584 0.9872053 0 ENSG00000099991_CABIN1
-27715.17 2.953399 0.4277177 0.9648978 0.8396229 0.07510276 0 ENSG00000163075_CFAP221
-15234.53 2.817766 0.1305253 0.9775688 0.8239483 0.06442047 0 ENSG00000075975_MKRN2
-14915.6 3.57123 0.06069296 0.9501695 1.256744e-05 3.872195 0 ENSG00000103966_EHD4
-26706.91 1.687752 0.1846921 0.9698997 1.834724e-05 2.692908 0 ENSG00000174358_SLC6A19
-57219.34 3.938568 0.05728338 0.9374395 0.0001606518 3.58704 0 ENSG00000009694_TENM1
-30901.07 3.344114 0.7357081 0.9941901 2.431019 2.057359 0 ENSG00000173681_CXorf23
-6737.476 1.882665 0.3121662 0.9649225 0.7723181 0.1234919 0 ENSG00000166710_B2M
-47961.21 2.930773 0.1333047 0.9822056 0.6838378 0.1731413 0 ENSG00000167971_CASKIN1
-22686.33 3.107568 0.2823964 0.977092 0.889955 0.02225244 0 ENSG00000135409_AMHR2
-8763.529 2.853307 0.1592898 0.9887879 1.219983 0.08163522 0 ENSG00000147687_TATDN1
-27587.09 3.818581 0.07288675 0.9816348 0.6864904 0.1512119 0 ENSG00000139613_SMARCC2
-36714.81 4.097605 0.6759456 0.9781704 1.611339 0.4254603 0 ENSG00000166024_R3HCC1L
-11880.02 3.407003 0.3884648 0.9702671 0.6899842 0.1896981 0 ENSG00000139405_RITA1
-15889.15 2.634659 0.2286196 0.9810749 1.030255 0.002451429 0 ENSG00000213995_CARKD
-9765.412 2.961236 0.2278907 0.966184 0.4840055 0.5857725 0 ENSG00000188315_C3orf62
-50895.89 3.124162 0.1793415 0.9920259 1.193322 -0.1432178 0 ENSG00000140323_DISP2
-8748.718 2.41957 0.2673263 0.9837431 1.281204 0.1197592 0 ENSG00000124098_FAM210B
-30285.38 2.788214 0.2749939 1.008551 2.110659 1.339522 0 ENSG00000106344_RBM28
-1105.42 3.10472 0.09615271 1.005344 1.205031 0.0444698 0 ENSG00000198523_PLN
-24599.36 2.188078 0.3140206 0.97358 0.5206325 1.226982 0 ENSG00000160214_RRP1
-119829.5 2.752792 0.1539681 0.9807233 0.8931254 0.02155981 0 ENSG00000167522_ANKRD11
-30296.66 3.864788 0.1062763 0.9461057 0.0002061848 2.272975 1 ENSG00000121741_ZMYM2
-38059.92 2.777047 0.2219593 1.004483 2.109154 1.28545 0 ENSG00000013573_DDX11
-51560.08 2.782388 0.5357059 0.9743307 1.093937 0.01523488 0 ENSG00000022976_ZNF839
-12639.97 2.726137 0.2481052 0.9836882 1.126566 0.02651528 0 ENSG00000198171_DDRGK1
-11372.79 2.579645 0.2854378 1.00033 1.787158 0.719186 0 ENSG00000094841_UPRT
-28946.78 2.792466 0.1081426 0.9679582 1.873867e-05 2.961702 0 ENSG00000114859_CLCN2
-9996.032 3.414238 0.06632269 1.015488 1.575386 0.5692762 0 ENSG00000168496_FEN1
-45256.39 2.869531 0.09041684 1.000772 1.544479 -0.8667073 0 ENSG00000178814_OPLAH
-40015.38 3.625413 0.2773527 0.9634115 0.6231283 0.3782128 0 ENSG00000198554_WDHD1
-9036.527 2.606073 0.3448209 1.001743 2.321588 2.038797 0 ENSG00000112167_SAYSD1
-84423.37 2.570997 0.2334951 0.9661189 0.2638214 1.195143 0 ENSG00000167880_EVPL
-17538.76 2.557476 0.4263382 0.9806426 1.392397 0.3283368 0 ENSG00000164334_FAM170A
-9555.05 3.100988 0.1537285 0.971041 0.7207595 0.1517085 0 ENSG00000029364_SLC39A9
-19161.65 2.45028 0.1638844 0.9841075 1.084186 0.01629318 0 ENSG00000136630_HLX
-31597.13 2.629735 0.5705533 0.9704646 1.186775 0.04920899 0 ENSG00000085465_OVGP1
-51277.35 2.983226 0.3312271 0.967918 0.7695462 0.1293919 0 ENSG00000198690_FAN1
-18786.53 2.451283 0.2525641 0.9768639 0.8679832 0.02635833 0 ENSG00000010310_GIPR
-26848.35 3.718151 0.5134379 0.9721168 1.215272 0.08250704 0 ENSG00000006634_DBF4
-15540.36 3.474597 0.2475093 0.9865252 1.239397 0.05855362 0 ENSG00000179222_MAGED1
-11889.52 2.462957 0.0743257 0.9884227 0.9938577 0.000384179 0 ENSG00000006016_CRLF1
-8908.29 2.70459 0.4140758 0.9536385 0.3807001 1.155718 0 ENSG00000239605_C2orf61
-22471.61 3.104445 0.2986821 0.9854577 1.317594 0.1527465 0 ENSG00000129696_TTI2
-2182.079 2.479315 0.2775031 1.005388 1.958063 0.8960121 0 ENSG00000204954_C12orf73
-3051.52 3.031995 0.1172379 0.9963631 1.0627 0.002844191 0 ENSG00000135643_KCNMB4
-17574.77 3.152958 0.1055945 0.9814509 0.8566384 0.0455267 0 ENSG00000136161_RCBTB2
-35997.36 3.511884 0.3495147 0.9701857 0.9352623 0.01130848 0 ENSG00000000460_C1orf112
-8941.932 2.250522 0.4129264 0.9694476 0.7490154 0.0437777 0 ENSG00000205832_C16orf96
-26996.34 2.82938 0.1398685 0.959051 0.2667267 1.376212 0 ENSG00000134243_SORT1
-12893.78 3.712974 0.06787118 0.9667984 0.4979728 0.5928839 0 ENSG00000115170_ACVR1
-10231.61 2.005883 0.07230459 0.9660003 0.0001499641 2.169661 1 ENSG00000136720_HS6ST1
-49749.97 3.312837 0.2210063 1.008041 1.661044 0.6002788 0 ENSG00000198677_TTC37
-21185.41 3.2561 0.1861229 0.9797433 0.9729452 0.0009595211 0 ENSG00000100722_ZC3H14
-23456.71 3.438791 0.1635372 1.064701 2.934024 2.757719 0 ENSG00000196950_SLC39A10
-10910.15 3.765298 0.08874303 0.9647952 0.1446337 2.30959 0 ENSG00000122756_CNTFR
-17925.93 3.014142 0.06047213 1.040395 1.93679 1.115393 0 ENSG00000150753_CCT5
-4209.017 3.188395 0.1670169 0.9711757 0.0002858588 2.098512 0 ENSG00000172366_FAM195A
-5073.358 2.254879 0.1466467 0.9839867 0.9591307 0.001817412 0 ENSG00000260027_HOXB7
-4793.409 2.608864 0.04201346 0.972561 0.2133276 2.078267 0 ENSG00000170370_EMX2
-13658.83 3.483861 0.09853436 0.9885318 1.007619 0.0003297188 0 ENSG00000123411_IKZF4
-2147.129 3.165778 0.2328701 1.004372 1.780001 0.7263207 0 ENSG00000177556_ATOX1
-5038.651 4.167833 0.04793096 1.041314 1.549668 0.4275804 0 ENSG00000109133_TMEM33
-12372.02 2.900226 0.6502539 0.9487364 0.1205818 4.514471 0 ENSG00000172116_CD8B
-10751.7 3.46719 0.1518378 1.010719 1.853488 0.9288085 0 ENSG00000112357_PEX7
-15605.98 2.833395 0.1409884 1.021811 1.76735 0.8271036 0 ENSG00000144644_GADL1
-51163.36 2.967076 0.1725747 0.9834925 1.071838 0.01245419 0 ENSG00000131747_TOP2A
-8509.382 3.979355 0.1549987 1.035852 1.79977 0.8208098 0 ENSG00000123307_NEUROD4
-28445.69 3.331779 0.3265964 1.032901 2.809401 2.492864 0 ENSG00000089048_ESF1
-21690.99 2.935601 0.4500463 0.9708227 1.206667 0.06257188 0 ENSG00000028116_VRK2
-45257.48 3.078597 0.2441163 0.9605485 0.3589457 2.030257 0 ENSG00000153208_MERTK
-25761.37 2.513089 0.07676219 0.9680336 0.5677922 0.348762 0 ENSG00000157827_FMNL2
-5481.08 2.802225 0.08588245 0.987065 1.008855 0.0002964304 0 ENSG00000104671_DCTN6
-1954.463 4.01024 0.04517648 1.01299 1.040338 0.002329856 0 ENSG00000205423_CNEP1R1
-8056.877 2.419291 0.1842645 0.979749 1.071966 0.009210495 0 ENSG00000169372_CRADD
-10767.98 3.0056 0.1859911 0.9631439 0.6089143 0.4663207 0 ENSG00000130988_RGN
-3578.221 3.606448 0.04983097 0.9781682 0.7064764 0.06530705 0 ENSG00000162959_MEMO1
-37113.37 3.451056 0.1637091 1.027755 2.076701 1.080043 0 ENSG00000138674_SEC31A
-7052.196 3.504861 0.1743087 0.9826513 1.00995 0.0002264171 0 ENSG00000116161_CACYBP
-17244.86 2.913424 0.3743812 0.9797568 1.164054 0.02052481 0 ENSG00000128886_ELL3
-32458.31 3.023299 0.3175714 0.998178 1.863624 0.8171322 0 ENSG00000166197_NOLC1
-16669.59 3.504228 0.1056305 0.9984456 1.165182 0.04804194 0 ENSG00000198301_SDAD1
-14305.53 4.105293 0.06252059 1.006387 1.26595 0.09955801 0 ENSG00000072415_MPP5
-8858.421 3.17943 0.1805344 1.025842 2.147034 1.412427 0 ENSG00000167220_HDHD2
-6926.963 2.870864 0.1319718 1.011085 1.803025 0.9830698 0 ENSG00000100053_CRYBB3
-5580.922 2.656209 0.06558045 0.9845891 0.9143319 0.0045755 0 ENSG00000163466_ARPC2
-12098.67 3.152752 0.06608609 0.9793435 0.7288605 0.1029952 0 ENSG00000057608_GDI2
-17581.13 2.373833 0.325438 0.9713266 0.7242676 0.1752638 0 ENSG00000114654_EFCC1
-38044.72 3.071755 0.2294989 1.020777 2.384138 2.225059 0 ENSG00000170037_CNTROB
-7619.618 2.713966 0.2125317 0.983804 1.291258 0.08280665 0 ENSG00000152430_BOLL
-25334.9 3.48793 0.8455792 0.9482412 0.2733813 1.290973 0 ENSG00000136929_HEMGN
-4678.446 3.450256 0.1212369 0.9584956 0.3969332 0.9773767 0 ENSG00000111237_VPS29
-4624.752 2.171202 0.283059 0.9851832 1.462492 0.2615652 0 ENSG00000214226_C17orf67
-3484.476 2.978756 0.2051445 0.9935704 1.430722 0.2099725 0 ENSG00000233670_PIRT
-10500.11 2.677526 0.04840957 0.9893376 0.9955296 -5.528155e-05 0 ENSG00000276293_PIP4K2B
-8096.942 4.051742 0.07428114 1.038358 1.877452 0.6924669 0 ENSG00000122545_SEPT7
-14815.93 2.225055 0.2341234 0.9662155 0.483141 0.6200575 0 ENSG00000180758_GPR157
-15551.5 3.621633 0.4208639 0.9851193 1.484799 0.3720226 0 ENSG00000123600_METTL8
-100389.6 3.491994 0.4214974 0.9835828 1.448951 0.4960052 0 ENSG00000153207_AHCTF1
-15245.08 3.106936 0.2071781 0.9833756 0.9512235 0.004005732 0 ENSG00000143851_PTPN7
-5582.278 3.203913 0.1220042 0.9938577 1.108046 0.0315293 0 ENSG00000163154_TNFAIP8L2
-10064.11 3.508682 0.05404853 0.9931496 0.9624498 0.003204968 0 ENSG00000138629_UBL7
-14694.33 2.788961 0.1565705 0.9757471 0.8612562 0.04964516 0 ENSG00000119523_ALG2
-15012.17 3.836151 0.06986687 1.034549 1.820659 0.6764445 0 ENSG00000114861_FOXP1
-23029.53 2.837584 0.2751577 0.9964283 1.63084 0.6834615 0 ENSG00000034971_MYOC
-6886.745 3.739081 0.03743023 0.970455 0.4757374 0.6325587 0 ENSG00000131828_PDHA1
-32225.25 1.995131 0.4083924 0.9698469 0.8337158 0.04856858 0 ENSG00000163885_CCDC37
-41532.68 3.667925 0.1759331 0.9829112 0.991176 -0.001641539 0 ENSG00000138347_MYPN
-26354.14 2.876584 0.2316785 0.9804925 1.036125 0.003079563 0 ENSG00000101447_FAM83D
-20651.18 3.409589 0.3073012 0.9931608 1.419609 0.3325866 0 ENSG00000182447_OTOL1
-3620.117 2.161277 0.4670359 0.966207 0.433644 0.9378877 0 ENSG00000196748_CLPSL2
-23454.15 3.549628 0.3501707 0.96477 0.2613688 1.367403 0 ENSG00000162391_FAM151A
-12565.1 3.499967 0.1797986 1.00002 1.583016 0.3303483 0 ENSG00000165006_UBAP1
-63207.82 3.206498 0.4096267 0.9832884 1.346382 0.2898017 0 ENSG00000149633_KIAA1755
-20120.71 3.421989 0.09310624 0.9738624 0.5303207 0.4711796 0 ENSG00000183862_CNGA2
-18736.79 2.463822 0.1938081 0.9604521 2.545768e-05 3.215499 0 ENSG00000135902_CHRND
-41795.45 3.581761 0.2445797 0.9717778 0.7724169 -0.1595507 0 ENSG00000101407_TTI1
-31261.29 2.394952 0.3534216 0.9462618 1.939213e-05 4.982717 0 ENSG00000141655_TNFRSF11A
-20258.1 2.240963 0.1957104 0.9692621 0.7233837 0.1550655 0 ENSG00000169291_SHE
-7060.248 2.955027 0.1089713 0.9739403 0.5624212 0.374724 0 ENSG00000169592_INO80E
-115674.2 2.889337 0.250444 0.9615469 2.083973e-05 1.904974 0 ENSG00000148357_HMCN2
-16695.1 3.794455 0.3094376 0.9911613 1.375607 0.2387111 0 ENSG00000060140_STYK1
-43331.74 3.333081 0.2905699 0.9903416 1.493061 0.2815994 0 ENSG00000166415_WDR72
-10872.04 2.668468 0.2951456 0.9764776 0.875083 0.02427627 0 ENSG00000162144_CYB561A3
-36950.74 3.115042 0.2102666 1.020856 1.963983 1.13205 0 ENSG00000052126_PLEKHA5
-15893.2 3.286036 0.5222106 0.9574285 0.6757638 0.1416387 0 ENSG00000232125_DYTN
-10237.5 3.718411 0.287565 0.9780129 0.8250645 0.05109309 0 ENSG00000166546_BEAN1
-12632.39 2.49567 0.08267458 0.9534392 2.574414e-05 2.772778 0 ENSG00000148341_SH3GLB2
-14831.73 3.530107 0.2943035 1.01804 1.842156 0.9368876 0 ENSG00000127083_OMD
-6083.828 3.075142 0.03096805 1.004875 1.198862 0.04465432 0 ENSG00000103035_PSMD7
-41526.18 3.251083 0.1249182 1.021889 2.040055 1.447711 0 ENSG00000114650_SCAP
-7639.375 3.535399 0.1787424 0.9847285 1.032709 0.001007729 0 ENSG00000118816_CCNI
-8162.394 2.54046 0.6234519 0.9653756 0.8889944 0.01952418 0 ENSG00000154589_LY96
-29171.17 3.563068 0.095623 0.9920047 1.019194 0.001152021 0 ENSG00000140553_UNC45A
-9482.132 3.081897 0.1307602 0.9854229 0.9256576 0.005549617 0 ENSG00000162878_PKDCC
-6168.053 2.194241 0.1096945 0.9864142 1.153117 0.03844185 0 ENSG00000106537_TSPAN13
-5535.351 1.672715 0.1573152 0.9894561 1.567319 0.5188771 0 ENSG00000181585_TMIE
-9349.828 3.1495 0.09168579 0.9728479 0.4722407 0.8058764 0 ENSG00000099785_MARCH2
-18123.56 2.581556 0.09312882 0.9916113 1.242561 -0.05952167 0 ENSG00000148411_NACC2
-11290.68 3.214486 0.2149975 0.9988242 1.473689 0.4003517 0 ENSG00000102683_SGCG
-10308.29 3.745877 0.03285141 0.9753709 0.6004917 0.2633018 0 ENSG00000196591_HDAC2
-17517.48 3.246539 0.1508451 0.9970575 1.347347 0.1746304 0 ENSG00000101336_HCK
-9106.08 2.721983 0.1222435 0.9630185 0.2845553 1.071485 0 ENSG00000135097_MSI1
-31668.06 3.603057 0.1047196 0.9610468 0.3541421 1.328729 0 ENSG00000158258_CLSTN2
-24271.16 3.466694 0.1240958 1.04907 2.369679 1.785329 0 ENSG00000165156_ZHX1
-17437.24 3.454841 0.1668874 1.026409 1.941848 1.000139 0 ENSG00000163659_TIPARP
-1281.613 3.285454 0.05861142 1.012879 1.448467 0.1582621 0 ENSG00000174021_GNG5
-12146.56 3.293896 0.2376283 0.9711299 0.6650345 0.2688816 0 ENSG00000163832_ELP6
-8793.903 2.813753 0.1507923 1.027359 2.311017 1.78763 0 ENSG00000113638_TTC33
-10848.41 3.177459 0.1573384 0.9868206 1.162285 0.04038697 0 ENSG00000164366_CCDC127
-17468.79 2.339601 0.4254931 0.9693491 1.149697 0.038105 0 ENSG00000117151_CTBS
-25376 3.852231 0.1410424 1.076097 2.854302 3.085957 0 ENSG00000139324_TMTC3
-28481.71 2.3033 0.1696546 0.9621801 0.0001367107 3.644658 0 ENSG00000136830_FAM129B
-5406.215 3.590826 0.04694648 1.014292 1.587955 0.2763372 0 ENSG00000172602_RND1
-22973.86 3.134521 0.3010877 0.9853833 1.276475 0.1447491 0 ENSG00000168032_ENTPD3
-57347.49 3.044604 0.35588 1.001094 2.04175 1.279285 0 ENSG00000138095_LRPPRC
-21972.83 2.639921 0.169191 0.9684228 0.6123976 0.3718993 0 ENSG00000152939_MARVELD2
-57636.48 3.072568 0.2477211 0.9713195 0.6932331 0.24617 0 ENSG00000196878_LAMB3
-53700.76 2.666213 0.2058364 0.9968378 1.588822 0.5239669 0 ENSG00000089177_KIF16B
-24501.54 2.95779 0.08174418 0.9929599 1.132347 0.02883095 0 ENSG00000117298_ECE1
-71540.81 3.089591 0.03348868 1.058821 2.35015 1.940006 0 ENSG00000150995_ITPR1
-44163.95 3.388633 0.291833 0.9600295 0.6099943 0.3739235 0 ENSG00000188177_ZC3H6
-51985.21 2.551951 0.08151876 0.9828047 0.850704 0.09295026 0 ENSG00000162337_LRP5
-28142.61 2.502304 0.1295789 1.010803 2.07777 1.267797 0 ENSG00000124228_DDX27
-18451.68 2.798792 0.4402035 0.9987572 2.137669 1.555923 0 ENSG00000164118_CEP44
-11313.89 2.933346 0.183361 0.9811774 0.9302181 0.009385658 0 ENSG00000136110_LECT1
-12727.62 3.001257 0.08099963 1.007165 1.358119 0.170507 0 ENSG00000112290_WASF1
-12833.08 2.449478 0.1969662 0.9643248 9.449216e-07 2.754367 0 ENSG00000175182_FAM131A
-10984.92 3.905268 0.06750482 1.027785 1.750045 0.6754113 0 ENSG00000132912_DCTN4
-7383.818 2.226574 0.1306557 0.9658974 0.426445 1.554094 0 ENSG00000131116_ZNF428
-1138.233 4.099131 0.01388567 0.9839941 0.9054172 0.01027126 0 ENSG00000132432_SEC61G
-12669.29 2.283022 0.1403156 0.9671548 0.566088 0.340229 0 ENSG00000196405_EVL
-17042.14 3.160761 0.2163331 1.012776 2.08964 1.113465 0 ENSG00000126767_ELK1
-16595.91 2.442864 0.1998643 0.9749079 0.9195787 0.01911275 0 ENSG00000184307_ZDHHC23
-33761.1 2.395112 0.5109396 0.9736593 1.424971 0.2383791 0 ENSG00000137968_SLC44A5
-23696.55 2.696255 0.09935398 0.9917042 1.139118 0.04361519 0 ENSG00000165091_TMC1
-3088.409 3.297739 0.3067716 0.9706171 0.5067801 0.2562654 0 ENSG00000183172_SMDT1
-7927.282 4.214285 0.05594277 0.9946261 0.9509414 0.005110088 0 ENSG00000149547_EI24
-24065.49 2.998521 0.09125862 1.031525 1.998872 1.326243 0 ENSG00000116141_MARK1
-30435.44 2.906393 0.6299608 0.9642801 0.9071608 -0.005278009 0 ENSG00000152672_CLEC4F
-35549.47 3.570981 0.04277958 0.9729919 0.5722672 0.3819971 1 ENSG00000066084_DIP2B
-6959.636 3.242503 0.2438617 0.9889041 1.280521 0.1055128 0 ENSG00000145781_COMMD10
-9306.705 2.73809 0.06499435 0.9730031 0.5593533 0.3976847 0 ENSG00000156804_FBXO32
